"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2024","8,012.20","8,070.10","8,070.10","8,008.40","903.20M","-0.72%"
"05/07/2024","8,070.10","8,079.10","8,079.10","8,055.20","768.46M","-0.11%"
"04/07/2024","8,079.20","7,986.10","8,082.50","7,986.10","1.02B","1.17%"
"03/07/2024","7,986.10","7,959.70","7,989.10","7,959.70","928.21M","0.33%"
"02/07/2024","7,959.70","7,992.30","7,995.90","7,944.40","1.01B","-0.41%"
"01/07/2024","7,992.30","8,013.80","8,013.80","7,958.30","927.61M","-0.27%"
"28/06/2024","8,013.80","8,002.80","8,061.90","7,998.50","1.45B","0.14%"
"27/06/2024","8,002.80","8,022.90","8,022.90","7,898.00","1.39B","-0.25%"
"26/06/2024","8,022.90","8,076.90","8,076.90","7,986.40","1.30B","-0.67%"
"25/06/2024","8,076.70","7,978.10","8,076.70","7,978.10","1.11B","1.27%"
"24/06/2024","7,975.10","8,039.90","8,040.00","7,970.40","1.13B","-0.81%"
"21/06/2024","8,039.90","8,012.10","8,040.50","7,995.50","2.50B","0.35%"
"20/06/2024","8,012.10","8,010.50","8,013.00","7,995.80","1.25B","0.02%"
"19/06/2024","8,010.50","8,015.80","8,026.90","7,995.20","986.97M","-0.07%"
"18/06/2024","8,015.80","7,943.50","8,018.10","7,942.60","1.12B","0.91%"
"17/06/2024","7,943.60","7,974.80","7,976.90","7,941.00","1.03B","-0.39%"
"14/06/2024","7,974.80","8,002.50","8,004.30","7,968.80","971.62M","-0.35%"
"13/06/2024","8,002.50","7,963.10","8,029.50","7,962.30","1.12B","0.49%"
"12/06/2024","7,963.10","8,005.80","8,005.80","7,948.20","1.08B","-0.53%"
"11/06/2024","8,005.90","8,112.80","8,112.80","7,986.90","1.16B","-1.32%"
"07/06/2024","8,112.80","8,074.30","8,115.10","8,074.30","902.27M","0.48%"
"06/06/2024","8,074.30","8,022.20","8,090.30","8,022.20","952.37M","0.65%"
"05/06/2024","8,022.20","7,994.10","8,026.20","7,986.50","1.04B","0.35%"
"04/06/2024","7,994.10","8,024.10","8,029.20","7,994.10","913.76M","-0.37%"
"03/06/2024","8,024.10","7,970.80","8,044.80","7,970.80","822.35M","0.67%"
"31/05/2024","7,970.80","7,895.90","7,970.80","7,895.90","1.98B","0.95%"
"30/05/2024","7,895.90","7,935.70","7,935.70","7,872.20","1.08B","-0.50%"
"29/05/2024","7,935.70","8,034.90","8,034.90","7,930.20","1.15B","-1.23%"
"28/05/2024","8,034.90","8,058.60","8,071.40","8,034.70","911.86M","-0.29%"
"27/05/2024","8,058.60","8,005.30","8,062.40","8,005.30","885.31M","0.74%"
"24/05/2024","7,999.20","8,083.10","8,083.10","7,986.90","908.40M","-1.04%"
"23/05/2024","8,083.10","8,118.30","8,118.30","8,037.70","1.01B","-0.43%"
"22/05/2024","8,118.30","8,120.20","8,150.60","8,118.30","1.21B","-0.02%"
"21/05/2024","8,120.20","8,132.10","8,137.80","8,112.50","1.42B","-0.15%"
"20/05/2024","8,132.10","8,082.30","8,142.40","8,082.30","1.23B","0.62%"
"17/05/2024","8,082.30","8,150.10","8,153.00","8,079.50","1.67B","-0.83%"
"16/05/2024","8,150.10","8,020.90","8,167.30","8,020.90","1.14B","1.61%"
"15/05/2024","8,020.90","7,995.70","8,054.10","7,995.70","922.23M","0.32%"
"14/05/2024","7,995.70","8,019.40","8,019.40","7,983.60","963.86M","-0.30%"
"13/05/2024","8,019.40","8,022.70","8,022.70","7,992.30","960.52M","-0.04%"
"10/05/2024","8,022.70","7,994.20","8,041.00","7,994.20","1.03B","0.36%"
