Date,Price,Open,High,Low,Vol.,Change %,,
07/01/2024,8012.20,8013.80,8082.50,"7,944.40",5.55B,-0.02%,,
06/01/2024,8013.80,7970.80,8115.10,"7,898.00",22.32B,0.54%,,
05/01/2024,7970.80,7932.00,8167.30,"7,818.90",25.87B,0.49%,,
04/01/2024,7932.00,8153.70,8168.00,"7,743.30",22.28B,-2.72%,,
03/01/2024,8153.70,7959.50,8154.10,"7,848.30",26.63B,2.44%,,
02/01/2024,7959.50,7912.80,7963.80,"7,731.00",28.98B,0.59%,,
01/01/2024,7912.80,7829.50,7913.90,"7,551.20",19.42B,1.06%,,
12/01/2023,7829.50,7297.70,7852.10,"7,248.80",22.84B,7.29%,,
11/01/2023,7297.70,6967.50,7334.40,"6,967.50",25.49B,4.74%,,
10/01/2023,6967.50,7249.70,7305.20,"6,938.50",24.07B,-3.89%,,
09/01/2023,7249.70,7517.80,7548.40,"7,156.50",25.97B,-3.57%,,
08/01/2023,7517.80,7622.20,7683.00,"7,306.70",25.46B,-1.37%,,
07/01/2023,7622.20,7401.50,7689.40,"7,201.00",19.98B,2.98%,,
06/01/2023,7401.50,7273.50,7557.50,"7,240.70",23.89B,1.76%,,
05/01/2023,7273.50,7501.00,7559.30,"7,273.50",24.46B,-3.03%,,
04/01/2023,7501.00,7373.30,7587.50,"7,373.30",19.06B,1.73%,,
03/01/2023,7373.30,7458.00,7566.70,"7,081.50",28.75B,-1.14%,,
02/01/2023,7458.00,7686.10,7779.40,"7,389.60",21.90B,-2.97%,,
01/01/2023,7686.10,7221.70,7729.40,"7,087.80",17.88B,6.43%,,
12/01/2022,7221.70,7480.70,7573.50,"7,170.80",20.21B,-3.46%,,
11/01/2022,7480.70,7054.80,7487.60,"7,011.40",25.54B,6.04%,,
10/01/2022,7054.80,6678.70,7071.00,"6,609.80",22.69B,5.63%,,
09/01/2022,6678.70,7226.10,7258.00,"6,630.00",27.83B,-7.58%,,
08/01/2022,7226.10,7173.80,7386.40,"7,134.90",26.96B,0.73%,,
07/01/2022,7173.80,6746.50,7201.70,"6,720.40",22.26B,6.33%,,
06/01/2022,6746.50,7455.20,7488.80,"6,581.60",31.58B,-9.51%,,
05/01/2022,7455.20,7724.80,7724.80,"7,157.20",28.37B,-3.49%,,
04/01/2022,7724.80,7789.60,7923.40,"7,514.50",23.29B,-0.83%,,
03/01/2022,7789.60,7323.20,7839.90,"7,242.80",32.74B,6.37%,,
02/01/2022,7323.20,7268.30,7646.70,"7,225.00",23.17B,0.76%,,
01/01/2022,7268.30,7779.20,7956.30,"7,031.90",21.33B,-6.57%,,
12/01/2021,7779.20,7587.40,7847.90,"7,487.20",19.41B,2.53%,,
11/01/2021,7587.40,7639.10,7809.40,"7,482.80",23.00B,-0.68%,,
10/01/2021,7639.10,7629.70,7786.10,"7,457.60",22.05B,0.12%,,
09/01/2021,7629.70,7823.30,7840.70,"7,446.50",28.10B,-2.47%,,
08/01/2021,7823.30,7689.30,7902.20,"7,688.50",22.81B,2.08%,,
07/01/2021,7664.20,7585.00,7722.00,"7,478.00",20.65B,1.04%,,
06/01/2021,7585.00,7406.70,7655.90,"7,366.80",21.28B,2.41%,,
05/01/2021,7406.70,7290.70,7448.30,"7,154.00",20.20B,1.59%,,
04/01/2021,7290.70,7017.00,7358.80,"7,015.20",18.21B,3.90%,,
03/01/2021,7017.00,6940.60,7119.20,"6,885.10",22.93B,1.10%,,
02/01/2021,6940.60,6870.90,7207.70,"6,770.80",19.24B,1.01%,,
01/01/2021,6870.90,6850.60,7118.60,"6,849.50",16.27B,0.30%,,
12/01/2020,6850.60,6742.10,7009.70,"6,732.60",19.43B,1.61%,,
11/01/2020,6742.10,6133.20,6923.10,"6,105.40",22.70B,9.93%,,
10/01/2020,6133.20,6009.30,6455.60,"5,970.30",20.63B,2.06%,,
09/01/2020,6009.30,6245.90,6316.20,"5,951.30",25.44B,-3.79%,,
08/01/2020,6245.90,6058.30,6369.90,"5,992.40",24.42B,3.10%,,
07/01/2020,6058.30,6001.30,6272.30,"6,000.40",23.92B,0.95%,,
06/01/2020,6001.30,5872.20,6314.60,"5,823.50",33.26B,2.20%,,
05/01/2020,5872.20,5597.70,6029.90,"5,246.40",27.92B,4.90%,,
